,player_name,school,conference,GP,Min_per,ORtg,usg,eFG,TS_per,ORB_per,DRB_per,AST_per,TO_per,FTM,FTA,FT_per,2PM,2PA,2P_per,3PM,3PA,3P_per,blk_per,stl_per,ftr,yr,ht,num,porpag,adjoe,pfr,year,pid,type,rec-rk,ast/tov,rimmade,rimmade + rimmiss,midmade,midmade + midmiss,rimmade/(rimmade+rimmiss),midmade/(midmade+mismiss),dunksmade,dunksmiss + dunksmade,dunksmade/(dunksmade+dunksmiss),pick,drtg,adrtg,dporpag,stops,bpm,obpm,dbpm,gbpm,mp,ogbpm,dgbpm,oreb,dreb,treb,ast,stl,blk,pts,pos
45973,Matisse Thybulle,Washington,P12,36,77.2,103.2,17.2,50.0,54.17,3.0,9.0,13.5,20.5,57,67,0.851,66,119,0.555,46,151,0.305,8.1,6.6,24.8,Sr,6-5,4,1.73658,102.637,3.6,2019,43029,all,79.4,1.16669397,60.0,79.0,6.0,40.0,0.7595000000000001,0.15,39.0,41.0,0.9512,20.0,87.4217,84.1583,4.74664,284.521,11.3699,2.1028000000000002,9.26709,10.567,31.0,2.29151,8.27553,0.75,2.3333,3.0833,2.1389,3.4444,2.1944,9.0833,Combo G
46106,Justin Wright-Foreman,Hofstra,CAA,34,92.8,120.7,31.5,59.6,63.72,1.2,11.4,17.6,13.2,176,204,0.863,217,382,0.5680000000000001,108,254,0.425,0.6000000000000001,1.4,32.1,Sr,6-2,3,6.20431,134.613,2.0,2019,43169,all,,1.12088464,106.0,154.0,111.0,228.0,0.6883,0.4868,16.0,17.0,0.9412,53.0,108.29,109.99,2.37576,201.713,2.11328,5.449,-3.3357200000000002,5.96813,37.7429,7.93135,-1.9632100000000001,0.34290000000000004,3.6857,4.0286,2.9143,0.8571000000000001,0.2,27.0857,Combo G
46285,Justin Patton,Creighton,BE,34,63.8,117.1,21.1,69.2,67.45,7.7,18.9,8.6,17.7,43,83,0.518,186,272,0.684,8,14,0.5710000000000001,5.9,1.9,29.0,Fr,7-0,23,3.23666,123.512,4.4,2017,43360,all,83.2,0.68331093,160.0,196.0,27.0,77.0,0.8163,0.3506,67.0,68.0,0.9853000000000001,16.0,95.9166,90.3415,3.41481,203.996,8.69774,3.01927,5.67848,7.59594,25.2857,3.74237,3.85357,1.6857000000000002,4.5429,6.2286,1.1714,0.8571000000000001,1.4286,12.9429,PF/C
46411,Jerome Robinson,Boston College,ACC,35,89.0,114.7,26.3,56.4,60.73,1.6,9.4,19.5,16.5,146,176,0.8300000000000001,169,317,0.533,81,198,0.40900000000000003,0.4,1.4,34.2,Jr,6-5,1,5.10268,128.733,2.8,2018,43548,all,38.6,1.20831973,98.0,157.0,71.0,161.0,0.6242,0.441,12.0,13.0,0.9231,13.0,108.007,103.881,3.15995,209.282,2.818,4.38191,-1.56391,4.82193,36.0,5.2382100000000005,-0.41628099999999996,0.5143,3.0857,3.6,3.3143000000000002,0.8571000000000001,0.1429,20.7714,Combo G
46696,Brandon Clarke,Gonzaga,WCC,37,70.2,134.3,24.0,69.3,69.89,13.9,19.7,12.1,12.7,109,157,0.6940000000000001,253,359,0.705,4,15,0.267,10.8,2.3,42.0,Jr,6-8,15,5.7086,145.023,3.0,2019,43790,all,,1.21058094,192.0,241.0,61.0,118.0,0.7967000000000001,0.5169,60.0,61.0,0.9836,21.0,83.897,81.1574,4.60704,276.59,16.631,7.80351,8.82747,15.376,28.0811,9.6041,5.77186,3.0811,5.4865,8.5676,1.8649,1.1622,3.0,16.9459,C
47076,Isaiah Roby,Nebraska,B10,35,77.8,102.9,21.9,49.7,53.19,6.6,17.8,12.5,17.3,90,133,0.677,120,242,0.496,28,84,0.333,6.4,2.4,40.8,Jr,6-8,15,2.9017,113.311,4.1,2019,44213,all,73.6,0.97144997,99.0,163.0,21.0,79.0,0.6074,0.26580000000000004,28.0,33.0,0.8485,45.0,96.0961,90.8691,4.05654,238.984,6.3005700000000004,1.52101,4.77955,5.50291,31.2286,2.33039,3.17251,1.8857,5.0286,6.9143,1.9429,1.2570999999999999,1.8857,11.8286,Stretch 4
47317,Miye Oni,Yale,Ivy,28,74.3,106.0,28.0,51.2,55.82,2.5,18.7,20.7,16.9,103,130,0.792,107,220,0.486,55,150,0.367,4.2,1.6,35.1,Jr,6-6,25,3.37005,118.004,3.5,2019,44509,all,,1.37332771,77.0,132.0,30.0,88.0,0.5833,0.34090000000000004,22.0,24.0,0.9167000000000001,58.0,98.1772,98.5961,3.18586,189.263,3.84862,2.3055,1.5431300000000001,4.28004,30.931,3.43918,0.840865,0.6552,5.6207,6.2759,3.5517000000000003,0.8966000000000001,1.2759,17.1379,Wing F
47357,Kostas Antetokounmpo,Dayton,A10,29,34.8,92.9,20.8,58.4,57.46,7.3,16.8,5.9,25.6,33,64,0.516,56,86,0.651,2,15,0.133,8.3,1.0,63.4,Fr,6-10,13,0.41390099999999996,95.4475,6.0,2018,44540,all,79.8,0.33335812,46.0,64.0,10.0,23.0,0.7188,0.4348,27.0,27.0,1.0,60.0,104.641,103.174,1.35938,87.2099,-1.41812,-3.80089,2.38277,-2.5148900000000003,15.1034,-3.51309,0.9982000000000001,0.8276,2.0345,2.8621,0.44830000000000003,0.2414,1.069,5.2069,C
47416,Ike Anigbogu,UCLA,P12,29,26.2,106.1,18.7,56.4,56.41,13.3,19.9,2.3,18.4,23,43,0.535,57,101,0.5640000000000001,0,0,0.0,8.8,0.7000000000000001,42.6,Fr,6-10,13,0.977968,108.613,7.6,2017,44630,all,91.0,0.25,40.0,58.0,17.0,43.0,0.6897,0.39530000000000004,23.0,28.0,0.8214,47.0,97.60210000000001,92.456,1.6455000000000002,89.4142,1.24082,-1.10252,2.34333,-0.37105899999999997,13.0,-2.06185,1.69079,1.4138,2.6207000000000003,4.0345,0.2069,0.1724,1.2069,4.7241,C
47417,TJ Leaf,UCLA,P12,35,72.8,128.2,21.5,65.2,65.96,9.1,19.7,13.2,12.4,72,106,0.679,208,323,0.644,27,58,0.466,3.5,1.1,27.8,Fr,6-10,22,4.93283,134.409,3.4,2017,44631,all,96.6,1.6346503700000001,143.0,184.0,66.0,139.0,0.7772,0.4748,56.0,56.0,1.0,18.0,100.313,96.2975,3.39093,225.006,8.0756,5.82138,2.25422,7.57713,29.9429,6.07584,1.50129,2.2286,5.9714,8.2,2.4286,0.6286,1.1143,16.2571,PF/C
